word,phonetic
skrun,skrʊn
skrejjen,skrɛɪjɛn
skwerer,skwɛrɛr
skarpan,skɐrpɐn
skrapan,skrɐpɐn
skrapel,skrɐpɛl
skrataċ,skrɐtɐʧ
sengħa,sɛnɐ
tebgħa,tɛbɐ
btala,ptɐlɐ
flus,flʊs
flejjes,flɛɪjɛs
frejjeġ,frɛɪjɛʧ
ftira,ftɪrɐ
fwieħa,fwɪːhɐ
fwejjaħ,fwɛɪjɐh
ħobżiet,hɔbzɪːt
ħrafa,hrɐfɐ
ħrejjef,hrɛɪjɛf
kċejjen,kʧɛɪjɛn
knisja,knɪsjɐ
nbejjed,mbɛɪjɛt
rkejjen,rkɛɪjɛn
skejjel,skɛɪjɛl
skuna,skʊnɐ
skejjen,skɛɪjɛn
spejjeż,spɛɪjɛs
storja,stɔrjɐ
biċċa,bɪʧʧɐ
bċejjeċ,pʧɛɪjɛʧ
ħaxix,hɐʃɪʃ
ħaxixa,hɐʃɪʃɐ
ħxejjex,hʃɛɪjɛʃ
katina,kɐtɪnɐ
mejda,mɛɪdɐ
reġina,rɛʤɪnɐ
rġejjen,rʤɛɪjɛn
rieħa,rɪːhɐ
rwejjaħ,rwɛɪjɐh
blokok,blɔkɔk
grosos,grɔsɔs
grotot,grɔtɔt
gwerer,gwɛrɛr
sfinġa,sfɪnʤɐ
sfineġ,sfɪnɛʧ
spalla,spɐllɐ
sponża,spɔnzɐ
sponoż,spɔnɔs
staffa,stɐffɐ
stafef,stɐfɛf
stalla,stɐllɐ
stalel,stɐlɛl
staneg,stɐnɛk
stilla,stɪllɐ
stilel,stɪlɛl
trinka,trɪnkɐ
trofof,trɔfɔf
vleġġa,vlɛʤʤɐ
bniet,bnɪːt
borġ,bɔrʧ
braġ,brɐʧ
ċens,ʧɛns
ċriev,ʧrɪːf
ċint,ʧɪnt
skwerra,﻿skwɛrrɐ
skarpell,skɐrpɛll
skartoċċ,skɐrtɔʧʧ
snajja',snɐɪjɐ
tbajja',dbɐɪjɐ
btajjel,ptɐɪjɛl
bxara,pʃɐrɐ
bxajjar,pʃɐɪjɐr
froġa,frɔʤɐ
ftajjar,ftɐɪjɐr
gżira,gzɪrɐ
gżejjer,gzɛɪjɛr
ħlieqa,hlɪːʔɐ
ħlejjaq,hlɛɪjɐʔ
ħobż,hɔps
ħoss,hɔss
ħsejjes,hsɛɪjɛs
kċina,kʧɪnɐ
knejjes,knɛɪjɛs
nbid,mbɪt
ntiena,ntɪːnɐ
ntejjen,ntɛɪjɛn
rokna,rɔknɐ
skola,skɔlɐ
spiża,spɪzɐ
stejjer,stɛɪjɛr
xkora,ʃkɔrɐ
xkejjer,ʃkɛɪjɛr
xmara,ʃmɐrɐ
xmajjar,ʃmɐɪjɐr
żjara,zjɐrɐ
żjajjar,zjɐɪjɐr
ħuġġieġa,hʊʤʤɪːʤɐ
ħġejjeġ,hʤɛɪjɛʧ
ktajjen,ktɐɪjɛn
mwejjed,mwɛɪjɛt
blokka,blɔkkɐ
flotta,flɔttɐ
flotot,flɔtɔt
grossa,grɔssɐ
grotta,grɔttɐ
gwerra,gwɛrrɐ
